0,0,0,0,-74,-86,-87,-79,0,0,0,0,0,0,-74,-77,0,0,0,-74,-85,-85,0,0,-76,-80,-80,-79,-70,-72,0,0,-79,-78,0,-88,-83,-82,0,-87,-86,0,0,0,0,0,0,0,0,-90,-87,-61,-57
0,0,0,0,-74,-86,-87,-78,0,0,0,0,0,0,-68,-69,0,0,-66,-67,-89,-88,-68,-70,-79,-77,-76,-75,-70,-71,0,0,-79,-78,0,0,-84,-85,0,-87,-75,0,0,0,-89,0,0,0,0,-90,-87,-59,-49
0,0,0,0,-74,0,0,-75,0,0,0,0,0,0,-73,-71,0,0,-66,-65,-78,-88,-68,-69,-69,-72,-74,-75,-73,-71,0,0,-78,-74,-75,0,-86,-88,0,-75,-75,0,0,-88,-87,0,0,0,0,-83,-83,-70,-43
0,-73,0,0,-74,0,0,-72,0,0,0,0,0,0,-69,-71,0,0,-66,-65,-80,-78,-72,-72,-72,-72,-74,-75,-66,-66,0,0,-78,-74,-75,0,-83,-84,0,-75,-73,0,0,-88,-87,-79,-82,0,0,-86,-86,-59,-48
-72,-72,0,0,-76,-84,-87,-72,0,0,-78,0,0,0,-73,-71,0,0,-75,-75,-86,-78,-72,-71,-77,-78,-77,0,-83,-83,0,0,-74,-73,0,0,-83,-83,0,0,-73,0,0,-88,-87,-85,-85,-79,-73,-84,-85,-57,-48
-72,-72,0,0,-77,-86,-87,-79,0,0,-78,0,0,0,-76,0,0,0,-75,-73,-78,-81,0,-71,-77,-78,-84,-89,-80,-79,-70,-71,-81,-81,0,0,-85,-86,-81,0,0,0,0,-87,-88,-85,-85,-79,-73,-86,-86,-60,-51
-75,-71,0,0,-77,-84,-85,-79,0,0,0,-82,0,0,-70,0,0,0,0,-74,-77,-77,0,0,-73,-73,-84,-89,-75,-79,-70,-71,-79,-80,0,0,-85,-86,-81,0,0,0,0,-85,-83,-87,-87,-75,-69,-83,-86,-58,-51
-77,-72,0,0,0,-84,-85,-80,0,0,0,-82,0,0,-64,-62,0,0,-61,-62,-76,-75,-77,-77,-78,-80,-75,0,-76,-76,0,0,-78,-77,0,0,0,0,0,-84,-84,0,0,-85,-83,-87,-87,-89,-82,-89,-87,-70,-46
-77,-77,0,0,-76,0,0,-72,0,0,0,0,0,0,-64,-65,0,0,-62,-62,-70,-71,-77,-77,-79,-79,-75,0,-77,-77,-76,-79,-73,-73,0,0,0,0,0,-81,-84,0,0,0,0,0,0,-89,-82,-89,-87,-61,-39
-71,-70,0,0,-76,0,0,-72,0,0,0,0,0,0,-68,-69,0,0,-63,-59,-69,-71,0,0,-79,-79,0,0,-81,-82,-68,-69,-75,-76,0,0,0,0,0,-81,-83,0,0,0,0,0,0,0,-82,-87,-86,-61,-45
-71,-70,0,0,0,0,0,-72,0,0,0,0,0,0,-70,-69,0,0,-63,-62,-73,-73,0,0,-80,-79,-82,-78,-84,-84,-70,-69,-73,-72,0,0,0,0,0,-81,-83,0,0,0,0,0,0,0,-82,-87,-86,-61,-46
-69,-67,0,0,0,0,0,-72,0,0,0,0,0,0,-69,-70,0,0,-67,-64,-71,-75,0,-75,-75,-76,-82,-78,-82,-79,-71,0,-78,-76,0,0,-89,-89,0,0,0,0,0,-90,0,0,0,0,0,-84,-88,-59,-43
-69,-67,0,0,0,0,0,-72,0,0,0,0,0,0,-69,-70,0,0,-67,-64,-71,-75,0,-75,-75,-76,-82,-78,-82,-79,-71,0,-78,-76,0,0,-89,-89,0,0,0,0,0,-90,0,0,0,0,0,-84,-88,-59,-43
