-71,-69,-72,-71,0,-82,-84,-71,-77,-78,-83,-83,-72,-70,0,-76,0,0,0,0,-75,-73,-75,-74,-70,-70,-83,-84,-80,-80,-76,-72,-61,-61,0,-89,-80,-79,0,0,0,0,0,0,0,0,0,0,0,-74,-74,-70,-61
-71,-69,-72,-71,0,-82,-84,-71,-77,-78,-83,-83,-72,-70,0,-76,0,0,0,0,-75,-73,-75,-74,-70,-70,-83,-84,-80,-80,-76,-72,-61,-61,0,-89,-80,-79,0,0,0,0,0,0,0,0,0,0,0,-74,-74,-70,-61
-71,-69,-72,-71,0,-82,-84,-71,-77,-78,-83,-83,-72,-70,0,-76,0,0,0,0,-75,-73,-75,-74,-70,-70,-83,-84,-80,-80,-76,-72,-61,-61,0,-89,-80,-79,0,0,0,0,0,0,0,0,0,0,0,-74,-74,-70,-61
-71,-69,-72,-71,0,-82,-84,-71,-77,-78,-83,-83,-72,-70,0,-76,0,0,0,0,-75,-73,-75,-74,-70,-70,-83,-84,-80,-80,-76,-72,-61,-61,0,-89,-80,-79,0,0,0,0,0,0,0,0,0,0,0,-74,-74,-70,-61
-71,-70,-69,-65,0,-82,-84,-71,-78,-78,0,0,-71,-72,0,0,0,0,-72,-70,-64,-63,-70,-69,-62,-62,-83,-84,-71,-71,-66,-71,-66,-66,-77,-89,-73,-73,0,-86,-85,0,0,0,0,-82,-84,0,0,-80,-80,-72,-55
-71,-70,-69,-65,0,-82,-84,-71,-78,-78,0,0,-71,-72,0,0,0,0,-72,-70,-64,-63,-70,-69,-62,-62,-83,-84,-71,-71,-66,-71,-66,-66,-77,-89,-73,-73,0,-86,-85,0,0,0,0,-82,-84,0,0,-80,-80,-72,-55
-71,-70,-69,-65,0,-82,-84,-71,-78,-78,0,0,-71,-72,0,0,0,0,-72,-70,-64,-63,-70,-69,-62,-62,-83,-84,-71,-71,-66,-71,-66,-66,-77,-89,-73,-73,0,-86,-85,0,0,0,0,-82,-84,0,0,-80,-80,-72,-55
-71,-70,-69,-65,0,-82,-84,-71,-78,-78,0,0,-71,-72,0,0,0,0,-72,-70,-64,-63,-70,-69,-62,-62,-83,-84,-71,-71,-66,-71,-66,-66,-77,-89,-73,-73,0,-86,-85,0,0,0,0,-82,-84,0,0,-80,-80,-72,-55
0,-70,-65,-63,0,0,0,-80,-76,-76,0,0,-76,-75,-74,-74,0,0,-72,-70,-65,-66,-70,-69,-63,-63,-77,-83,-70,-70,-66,-69,-63,-63,-77,-84,-72,-72,0,-84,-83,0,0,0,0,-77,-77,0,0,-80,-80,-77,-61
0,-70,-65,-63,0,0,0,-80,-76,-76,0,0,-76,-75,-74,-74,0,0,-72,-70,-65,-66,-70,-69,-63,-63,-77,-83,-70,-70,-66,-69,-63,-63,-77,-84,-72,-72,0,-84,-83,0,0,0,0,-77,-77,0,0,-80,-80,-77,-61
0,-70,-65,-63,0,0,0,-80,-76,-76,0,0,-76,-75,-74,-74,0,0,-72,-70,-65,-66,-70,-69,-63,-63,-77,-83,-70,-70,-66,-69,-63,-63,-77,-84,-72,-72,0,-84,-83,0,0,0,0,-77,-77,0,0,-80,-80,-77,-61
0,-70,-65,-63,0,0,0,-80,-76,-76,0,0,-76,-75,-74,-74,0,0,-72,-70,-65,-66,-70,-69,-63,-63,-77,-83,-70,-70,-66,-69,-63,-63,-77,-84,-72,-72,0,-84,-83,0,0,0,0,-77,-77,0,0,-80,-80,-77,-61
0,-61,-65,-59,0,0,0,-80,-76,-76,0,0,-73,-74,-74,-74,-72,-72,-72,-70,-66,-66,-65,-64,-64,-65,-77,-83,-76,-76,-66,-69,-63,-63,-77,-82,-70,-70,0,-85,-85,0,0,0,0,-77,-77,0,0,-80,-80,-70,-60
0,-61,-65,-59,0,0,0,-80,-76,-76,0,0,-73,-74,-74,-74,-72,-72,-72,-70,-66,-66,-65,-64,-64,-65,-77,-83,-76,-76,-66,-69,-63,-63,-77,-82,-70,-70,0,-85,-85,0,0,0,0,-77,-77,0,0,-80,-80,-70,-60
0,-61,-65,-59,0,0,0,-80,-76,-76,0,0,-73,-74,-74,-74,-72,-72,-72,-70,-66,-66,-65,-64,-64,-65,-77,-83,-76,-76,-66,-69,-63,-63,-77,-82,-70,-70,0,-85,-85,0,0,0,0,-77,-77,0,0,-80,-80,-70,-60
0,-61,-65,-59,0,0,0,-80,-76,-76,0,0,-73,-74,-74,-74,-72,-72,-72,-70,-66,-66,-65,-64,-64,-65,-77,-83,-76,-76,-66,-69,-63,-63,-77,-82,-70,-70,0,-85,-85,0,0,0,0,-77,-77,0,0,-80,-80,-70,-60
0,-58,-62,-59,0,-75,-76,-80,-75,-76,0,0,-73,-74,-74,-74,-72,-72,-74,-71,-69,-69,-65,-64,-64,-63,-77,-83,-73,-73,-66,-68,-58,-59,0,-82,-71,-71,0,-85,-88,0,0,0,0,-76,-77,0,0,-79,-79,-64,-56
0,-58,-62,-59,0,-75,-76,-80,-75,-76,0,0,-73,-74,-74,-74,-72,-72,-74,-71,-69,-69,-65,-64,-64,-63,-77,-83,-73,-73,-66,-68,-58,-59,0,-82,-71,-71,0,-85,-88,0,0,0,0,-76,-77,0,0,-79,-79,-64,-56
0,-58,-62,-59,0,-75,-76,-80,-75,-76,0,0,-73,-74,-74,-74,-72,-72,-74,-71,-69,-69,-65,-64,-64,-63,-77,-83,-73,-73,-66,-68,-58,-59,0,-82,-71,-71,0,-85,-88,0,0,0,0,-76,-77,0,0,-79,-79,-64,-56
